name,class,introduction,learner_number,description,path,difficulty,duration,comprehensive_score,evaluation_number,utility_score,concise_score,logic_score,当前链接,上级链接,下载时间
我的云音乐（三）,Android,高仿网易云音乐，从零开始开发一款专属自己的音乐APP。,2867,不仅能学到自定义控件、第三方框架、Realm数据库等知识点，最终还能完成一个炫酷的音乐APP。,课程\移动开发\Android\我的云音乐（三）,中级, 3小时25分,9.73,9.2,10,9.2,10,http://www.imooc.com/learn/1115,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
初识HTML+CSS,HTML/CSS,HTML+CSS基础教程8小时带领大家步步深入学习标签用法和意义,1113476,本课程从最基本的概念开始讲起，步步深入，带领大家学习HTML、CSS样式基础知识，了解各种常用标签的意义以及基本用法，后半部分教程主要讲解CSS样式代码添加，为后面的案例课程打下基础。,课程\前端开发\HTML/CSS\初识HTML+CSS,入门, 9小时18分,9.5,9.5,9.8,9.5,9.2,http://www.imooc.com/learn/9,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
Spark SQL分析Nginx访问日志,大数据,快速入门Spark SQL的数据分析，并实战分析Nginx访问日志。,2465,本课中将系统的讲解SparkSQL的核心知识，并以实战的方式，通过分析Nginx访问日志的实战例子，帮助同学们领略SparkSQL强大简便的数据分析能力，洞悉SparkSQL调优方式及其核心思想。,课程\云计算&大数据\大数据\SparkSQL分析Nginx访问日志,中级, 2小时40分,9.77,9.3,10,9.3,10,http://www.imooc.com/learn/1149,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
Java入门第一季,Java,本教程从Java环境搭建、工具使用、基础语法开始，带你入门,1061292,本教程为Java入门第一季，欢迎来到精彩的Java编程世界！Java语言已经成为当前软件开发行业中主流的开发语言。本教程将介绍Java环境搭建、工具使用、基础语法。带领大家一步一步的踏入Java达人殿堂！Let’sgo!,课程\后端开发\Java\Java入门第一季,入门, 5小时 0分,9.57,9.5,9.8,9.5,9.4,http://www.imooc.com/learn/85,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
Python实现机器学习,Python机器学习,使用python手把手教你编程实现机器学习,9705,本门课程将介绍人工智能相关概念，重点讲解机器学习原理机器基本算法：监督学习及非监督学习。使用python，结合sklearn、jupyter-notebook进行编程，介绍iris、匹马印第安人数据集，建立AI模型并评估其表现。新课已上线，欢迎学习。https://coding.imooc.com/class/418.html,课程\后端开发\Python\Python实现机器学习,初级, 2小时48分,9.83,9.8,9.8,9.8,9.9,http://www.imooc.com/learn/1174,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
C语言入门,C,C语言入门视频教程，带你进入编程世界的必修课-C语言,816325,本C语言教程从以下几个模块来贯穿主要知识点：初始C程序、数据类型、运算符、语句结构、函数和数组。每个阶段都配有练习题同时提供在线编程任务。希望通过本教程帮助C语言入门学习者迅速掌握程序逻辑并开始C语言编程。,课程\后端开发\C\C语言入门,入门, 4小时50分,9.43,9.4,9.7,9.4,9.2,http://www.imooc.com/learn/249,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
5G时代Vlog原型系统开发,Go设计工具,Vlog创造了一大批“网红”，来学Vlog系统开发，做第一批吃螃蟹的人！,10576,2018年是短视频爆发的一年，短视频战场在各大互联网公司呈现“群雄逐鹿”状态。进入2019年，vlog成为短视频的下一个风口，像百度就要补贴5亿给vlog作者。作为互联网产品开发的技术人员，跟随风口走才能成为市场上炙手可热的人才，所以有了我们这一门vlog系统的课程。在本门课程中，我们使用流行的golang语言进行开发，紧跟技术潮流。本课程的讲解中，注重全方位能力的培养，并且技术细节的讲解透彻，技术实现简单合理，欢迎大家学习。,课程\前端开发\HTML/CSS\5G时代Vlog原型系统开发,中级, 1小时30分,7.93,8.9,7.1,8.9,7.8,http://www.imooc.com/learn/1131,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
初识Python,Python,学python入门视频教程，让你快速入门并能编写简单的Python程序,743805,Python教程基础分《Python入门》和《Python进阶》两门课程，本视频教程是Python第一门课程，是Python开发的入门教程，将介绍Python语言的特点和适用范围，Python基本的数据类型，条件判断和循环，函数，以及Python特有的切片和列表生成式。希望本python教程能够让您快速入门并编写简单的Python程序。,课程\后端开发\Python\初识Python,入门, 5小时 0分,9.43,9.4,9.7,9.4,9.2,http://www.imooc.com/learn/177,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
Gin入门实战,JavaScriptGo,会基础就能上手golang web教程-Gin,7457,了解gin框架的核心概念：路由、中间件、参数绑定；分析企业级使用gin各种使用技巧，渐进式搭建基于gin框架的开发脚手架。详细展示一个项目从无到有的开发全过程；讲解开发api时常遇到的难点问题；讲解如何部署一个项目到线上。,课程\前端开发\HTML/CSS\Gin入门实战,入门, 2小时15分,8.97,9.7,8.7,9.7,8.5,http://www.imooc.com/learn/1175,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
Python数据预处理（一）一抽取多源数据文本信息,Python自然语言处理,Python数据预处理---人工智能通用技术,10446,本课程由数据预处理整个流程到综合实战。包括：Anaconda、Sublime、Pywin32、数据采集、数据集成、缺失值处理、正则、jieba分词、NLTK、词袋模型、数据抽样、特征词抽取、文本向量化、gensim、数据降维、numpy、sicpy、pandas、matplotlib、seabom、Xgboost等核心技术。,课程\后端开发\Python\Python数据预处理（一）一抽取多源数据文本信息,初级, 1小时38分,9.23,8.5,9.6,8.5,9.6,http://www.imooc.com/learn/1105,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
MyBatis-Plus入门,Java,MyBatis-Plus框架入门必学课程！,28800,Mybatis-Plus（MP）在MyBatis的基础上只做增强不做改变，简化开发、提高效率。本课程从现有持久层框架存在的问题切入，引出MP在项目开发中能为我们解决哪些问题。课程中细致地讲解了MP的核心功能；并且结合实际场景，讲解了某些方法在特定场景下的使用。如果想进一步提升，请观看《MyBatis-Plus进阶》课程，链接在此：https://www.imooc.com/learn/1171,课程\后端开发\Java\MyBatis-Plus入门,高级, 4小时 0分,9.5,9.3,9.7,9.3,9.5,http://www.imooc.com/learn/1130,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-下,动效动画,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,2892,在电影《攻壳机动队》（2017年）中，电影的开篇动画展现了未来世界中具有人类大脑和灵魂的生化机器人的制造过程。科技感十足，可谓精彩绝伦。其中，生化机器人的表层涂料开裂，脱落，飘散的动画效果，让人过目难忘，给观众留下了深刻的印象。类似的效果，在《变形金刚4》等电影中也曾出现过。在此，我们在Maya平台下，利用布料特效系统，模仿电影《攻壳机动队》中的这一效果，给大家讲解表皮脱落这类特效动画的制作原理、制作流程及制作方法。,课程\UI设计&多媒体\动效动画\Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-下,入门, 2小时19分,8.67,10,10,10,6,http://www.imooc.com/learn/1081,http://www.imooc.com/course/list?page=5,2020/4/11 17:02
JavaScript入门篇,JavaScript,JavaScript做为一名Web工程师的必备技术，本教程让您快速入门,687410,本教程让您快速认识JavaScript，熟悉JavaScript基本语法、窗口交互方法和通过DOM进行网页元素的操作，学会如何编写JS代码，如何运用JavaScript去操作HTML元素和CSS样式，本JavaScript教程分为四个章节，能够让您快速入门，为JavaScript深入学习打下基础。,课程\前端开发\JavaScript\JavaScript入门篇,入门, 1小时35分,9.57,9.5,9.8,9.5,9.4,http://www.imooc.com/learn/36,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
【计算机网络篇】从0到1 实现HTTP服务器开发,,"快速&系统 在实践中掌握计算机网络编程基础
",8514,,课程\计算机基础\计算机网络\【计算机网络篇】从0到1实现HTTP服务器开发,初级, 3小时 8分,,,,,,http://www.imooc.com/course/introduction/id/1172,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
学习软件测试的进阶之路,测试,一门课让你学懂软件测试之路如何发展,20133,本门课程主要讲解新时代软件测试人员的职责、功能测试、性能测试等知识，让测试人员能更好的掌握学习路线。,课程\运维&测试\测试\学习软件测试的进阶之路,初级, 2小时50分,9.47,10,8.4,10,10,http://www.imooc.com/learn/1097,http://www.imooc.com/course/list?page=5,2020/4/11 17:02
4小时使用SpringCloud框架实现慕课网主页后端开发,,使用 SpringCloud 实现微服务架构，完成慕课网主页后端开发。,1692,,课程\后端开发\Java\4小时使用SpringCloud框架实现慕课网主页后端开发,中级, 4小时 0分,,,,,,http://www.imooc.com/course/introduction/id/1201,http://www.imooc.com/course/list?page=2,2020/4/11 17:02
PS入门教程——新手过招,设计工具,慕课网推出的PS入门教程，PS入门学习必备课程，带你轻松入门,603999,慕课网推出的PS入门教程，PS入门学习必备课程，本课程将带你从PS的基本界面开始熟悉，ps入门课程主要分为三个章节，ps基本工具，ps选择与变形，ps色彩调整，通过小案例来学习简单的工具，终极目标就是先揭开PS的面纱，让你掌握PS的基本用法。,课程\UI设计&多媒体\设计工具\PS入门教程——新手过招,入门, 9小时45分,9.67,9.7,9.9,9.7,9.4,http://www.imooc.com/learn/139,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
玩转Vim  从放弃到爱不释手,Linux,作为程序员你还不知道编辑器之神 Vim 吗，带你从零开始学习 vim 编辑器。,16358,Vim作为一个强大的编辑器，是很多巨佬的不二之选，但因为其较高的入门学习门槛劝退了很多人。中文的系统教程少之又少，讲vim插件使用的更是屈指可数，本课程从vim最基础的操作和概念开始讲起，带领大家学会使用和配置vim，安装强大的vim插件，真正掌握编辑器之神vim的使用。,课程\运维&测试\Linux\玩转Vim从放弃到爱不释手,中级, 5小时 9分,9.73,9.3,9.9,9.3,10,http://www.imooc.com/learn/1129,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
Android中的Http通信,Android,本次课程将带领大家掌握Android中的Http基础及对okhttp的封装使用。 ,8028,本门课程会带大家从Http基础知识包括Http协议，HttpURLConnection类的使用以及get、post、put、delete请求的处理开始，学习掌握json数据格式及解析方式，学习封装okhttp框架来适应现在主流app的使用，最后还会为大家总结Android中网络处理的常见问题和经验技巧。,课程\移动开发\Android\Android中的Http通信,初级, 2小时58分,9.3,8.7,9.6,8.7,9.6,http://www.imooc.com/learn/1094,http://www.imooc.com/course/list?page=5,2020/4/11 17:02
【Flutter入门】3小时完成微信读书发现界面 ,,"零基础快速上手Flutter，还原真实大厂案例，增强移动端面试竞争力。
",2245,,课程\移动开发\Android\【Flutter入门】3小时完成微信读书发现界面,初级, 3小时43分,,,,,,http://www.imooc.com/course/introduction/id/1170,http://www.imooc.com/course/list?page=1,2020/4/11 17:02
使用ViewPager实现卡片式问答项目（下）,Android,本门课程将带大家利用ViewPager等技术实现卡片式问答项目下半部分的学习,2352,本门课程将带大家从零开始开发一个在线答题app。本课程分为“上”和“下”两个部分，在“上”中，我们已经从需求分析开始，使用mvp构建模式搭建框架，完成项目的布局，网络数据请求，答题控件开发和逻辑实现。“下”中，我们将完成表情雨的特效实现，卡片的切换动画效果，使用GreenDao实现数据的持久化，底部广告条的实现，掌握项目的异常处理以及git管理项目和开源项目发布等技术。,课程\移动开发\Android\使用ViewPager实现卡片式问答项目（下）,入门, 1小时44分,9.33,8.5,9.5,8.5,10,http://www.imooc.com/learn/1126,http://www.imooc.com/course/list?page=4,2020/4/11 17:02
vue-cli全集,Vue.js,手把手带你学习从项目创建到项目升级，完美契合企业需求,20701,本课程从vue-cli2项目创建到使用vue-cli3对项目进行升级，手把手教学,课程\前端开发\Vue.js\vue-cli全集,入门, 7小时 0分,9.47,9.3,9.6,9.3,9.5,http://www.imooc.com/learn/1173,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
MyBatis-Plus进阶,Java,MyBatis-Plus框架进阶课程,10805,本课程是《MyBatis-Plus入门》的延续，在之前的基础上，继续介绍MyBatis-Plus的高级功能，包括逻辑删除、自动填充、乐观锁、性能分析、多租户实现、动态表和SQL注入器等内容。理论加实践相结合的方式进行讲解，定能让你的MyBatis-Plus技能进一步提升。,课程\后端开发\Java\MyBatis-Plus进阶,高级, 2小时10分,9.8,9.5,10,9.5,9.9,http://www.imooc.com/learn/1171,http://www.imooc.com/course/list?page=3,2020/4/11 17:02
快速入门Hadoop3.0大数据处理,大数据,快速入门Hadoop3.0数据处理，轻松迈入大数据领域,5118,本课程中内容涵盖Hadoop安装、HDFS分布式存储详解、MapReduce分布式计算详解、Yarn资源调度详解等知识，并最终通过直播平台开播数据统计分析案例帮助大家进一步活学活用。希望通过本课程，帮助大家对Hadoop有一个初步认识，理解Hadoop的一些核心思想和适用场景，以及如何使用Hadoop来进行海量数据的存储和计算分析。,课程\云计算&大数据\大数据\快速入门Hadoop3.0大数据处理,初级, 5小时30分,9.73,10,10,10,9.2,http://www.imooc.com/learn/1159,http://www.imooc.com/course/list?page=2,2020/4/11 17:02
2小时实战Apache顶级项目-RPC框架Dubbo分布式服务调度,Java,快速入门并实战分布式任务调度框架Dubbo,16374,当前正是微服务、分布式等相关技术盛行的时代，服务与服务之间、接口与接口之间如何进行通信是每个系统架构都会面临的事情。Dubbo作为当前应用相当广泛的服务调度框架，在服务之间的通信起到了关键性的作用。本课程将以代码实战为主、理论概念为辅，一步一个脚印从认识与理解Dubbo开始到基于SpringBoot整合Dubbo搭建实际的企业级应用实战相关实际项目的典型业务场景，讲解了如何采用Dubbo发布、注册服务到注册中心Zookeeper以及如何订阅、调用服务。本课程由浅入深，适合各阶段工程师、程序员观看。,课程\后端开发\Java\2小时实战Apache顶级项目-RPC框架Dubbo分布式服务调度,初级, 2小时30分,9.17,8.7,9.3,8.7,9.5,http://www.imooc.com/learn/1096,http://www.imooc.com/course/list?page=5,2020/4/11 17:02
